QualifyID;RaceID;DriverID;ConstructorID;Position;Q1_Lap_Time;Q2_Lap_Time;Q3_Lap_Time
1;18;1;1;1;86.572;85.187;86.714
2;18;9;2;2;86.103;85.315;86.869
3;18;5;1;3;85.664;85.452;87.079
4;18;13;6;4;85.994;85.691;87.178
5;18;2;2;5;85.96;85.518;87.236
6;18;15;7;6;86.427;86.101;88.527
7;18;3;3;7;86.295;86.059;88.687
8;18;14;9;8;86.381;86.063;89.041
9;18;10;7;9;86.919;86.164;89.593
10;18;20;5;10;86.702;85.842;
11;18;22;11;11;86.369;86.173;
12;18;4;4;12;86.907;86.188;
13;18;18;11;13;86.712;86.259;
14;18;6;3;14;86.891;86.413;
15;18;17;9;15;86.914;;
16;18;8;6;16;86.14;;
17;18;21;10;17;87.207;;
18;18;7;5;18;87.446;;
19;18;16;10;19;87.859;;
20;18;11;8;20;88.208;;
21;18;12;4;21;88.33;;
22;18;19;8;22;89.059;;
23;19;13;6;1;95.347;94.412;95.748
24;19;8;6;2;95.645;94.188;96.23
25;19;5;1;3;95.227;94.759;96.613
26;19;1;1;4;95.392;94.627;96.709
27;19;15;7;5;95.205;94.96;96.711
28;19;9;2;6;95.794;94.811;96.727
29;19;2;2;7;95.729;94.648;96.753
30;19;17;9;8;95.44;94.967;97.009
31;19;4;4;9;95.983;95.14;98.45
32;19;10;7;10;95.891;95,000;99.656
33;19;18;11;11;95.847;95.208;
34;19;14;9;12;96.058;95.408;
35;19;12;4;13;96.074;95.562;
36;19;22;11;14;96.198;95.622;
37;19;20;5;15;96.111;95.648;
38;19;3;3;16;95.843;95.67;
39;19;21;10;17;96.24;;
40;19;6;3;18;96.388;;
41;19;7;5;19;96.677;;
42;19;11;8;20;97.087;;
43;19;16;10;21;97.101;;
44;19;19;8;22;97.481;;
45;20;9;2;1;92.893;91.745;93.096
46;20;13;6;2;91.937;91.188;93.123
47;20;1;1;3;92.75;91.922;93.292
48;20;8;6;4;92.652;91.933;93.418
49;20;5;1;5;93.057;91.718;93.488
50;20;2;2;6;93.137;91.909;93.737
51;20;15;7;7;92.493;92.159;93.994
52;20;3;3;8;92.903;92.185;94.015
53;20;18;11;9;92.793;92.362;95.057
54;20;4;4;10;92.947;92.345;95.115
